,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
125,1363811,0.0,2.0,1,0,100.0,40.783421000000004,-111.898053,126500,0,0,Condo,123000,910,1.0,1.0,612,1961
126,1362382,0.01,10.0,0,1,315.0,40.773058,-111.88447,385000,0,0,Condo,380000,2731,2.0,3.0,2098,1985
127,1362254,0.26,35.0,2,2,,40.787302000000004,-111.86434299999999,800000,1,0,Single Family,780000,4297,3.0,3.0,3492,1965
128,1361872,0.01,14.0,1,1,448.0,40.772271,-111.88640900000001,229000,0,0,Condo,229000,1741,2.0,2.0,995,1976
129,1361893,0.97,43.0,1,3,,40.783227000000004,-111.85628899999999,1295000,1,0,Single Family,1275000,7020,6.0,5.0,5529,1994
130,1361447,0.13,88.0,1,2,,40.770928000000005,-111.852599,610000,0,0,Single Family,580000,4022,4.0,4.0,3144,1920
131,1360958,0.12,9.0,0,2,,40.775932,-111.86789499999999,599900,0,0,Single Family,599000,1735,3.0,3.0,2584,1910
132,1356684,0.12,35.0,0,2,,40.77197,-111.855744,579000,1,4,Single Family,550000,3837,3.0,3.0,2486,1902
133,1356153,0.36,,1,2,,40.786679,-111.86856499999999,600000,1,2,Single Family,591000,4387,4.0,3.0,2700,1956
134,1356213,0.01,26.0,1,1,379.0,40.774293,-111.89073400000001,215000,0,0,Condo,212500,1331,2.0,2.0,1044,1962
135,1356221,0.04,5.0,1,0,,40.771086,-111.86829399999999,690000,1,0,Single Family,690000,4304,2.0,2.0,4432,1891
136,1355917,0.12,25.0,1,1,,40.771398,-111.863203,620000,1,2,Single Family,606200,4256,4.0,3.0,3242,1898
137,1355627,0.12,4.0,1,1,,40.777538,-111.86999899999999,345000,0,0,Single Family,340000,2305,3.0,2.0,1600,1941
138,1355303,0.08,7.0,0,0,,40.775852,-111.877827,299900,0,2,Single Family,309900,1460,4.0,2.0,2704,1910
139,1355311,0.14,2.0,0,3,,40.773365999999996,-111.864034,599900,1,0,Single Family,599900,1991,4.0,3.0,2457,1906
140,1354970,0.04,,0,0,,40.780415999999995,-111.894273,199900,1,1,Single Family,195000,1193,2.0,1.0,1413,1906
141,1355320,0.01,14.0,3,2,,40.784853999999996,-111.87576399999999,679000,1,0,Condo,650000,4422,3.0,3.0,2548,2005
142,1354138,0.07,137.0,0,0,,40.773339,-111.875999,400000,1,0,Single Family,400000,3544,4.0,2.0,2312,1904
143,1354199,0.09,67.0,1,2,,40.7713,-111.880857,585000,0,0,Single Family,570000,3646,4.0,4.0,3294,1900
144,1353788,0.01,2.0,0,0,350.0,40.771334,-111.881845,129900,0,0,Condo,128000,879,1.0,1.0,500,1909
145,1353570,0.59,129.0,0,3,,40.773841,-111.840926,1295000,1,3,Single Family,1195000,10860,9.0,9.0,11193,1984
146,1353475,0.13,15.0,1,2,,40.770568,-111.871926,659000,2,0,Single Family,656000,2792,4.0,4.0,4370,1909
147,1352974,0.16,7.0,0,2,,40.782798,-111.87423799999999,409000,3,0,Single Family,397000,3200,3.0,2.0,2180,1937
148,1353110,0.0,7.0,1,1,338.0,40.775833,-111.89374299999999,165000,0,2,Condo,165000,1029,2.0,2.0,1087,1963
149,1353113,0.01,6.0,0,0,350.0,40.77149,-111.88166299999999,120000,0,0,Condo,114000,837,1.0,1.0,500,1928
150,1353733,0.01,9.0,1,0,236.0,40.778849,-111.89394399999999,99988,0,0,Condo,98550,776,1.0,1.0,677,1972
151,1352621,0.12,42.0,1,1,,40.78218,-111.87657800000001,275000,1,0,Single Family,255000,1958,2.0,1.0,892,1923
152,1352624,9.67,49.0,2,6,,40.776195,-111.84068400000001,3500000,1,0,Single Family,2600000,1,3.0,6.0,14003,1978
153,1352374,0.01,50.0,2,2,402.0,40.77466,-111.893152,390000,0,0,Condo,375000,1657,2.0,2.0,1270,1976
154,1352308,0.01,196.0,0,1,528.0,40.771963,-111.88668799999999,299900,0,0,Condo,267000,1897,2.0,2.0,1167,1976
155,1351541,0.17,100.0,0,3,,40.769467999999996,-111.849659,949000,1,0,Single Family,920000,9205,4.0,5.0,4403,1922
156,1351048,0.14,30.0,0,2,,40.772032,-111.869352,464900,1,2,Single Family,460000,2611,3.0,2.0,2665,1910
157,1351168,0.01,18.0,0,0,350.0,40.771457,-111.863767,134900,0,0,Condo,133900,978,1.0,1.0,600,1909
158,1350878,0.0,91.0,0,1,530.0,40.772271,-111.88640900000001,329000,1,1,Condo,322000,2106,2.0,2.0,1205,1978
159,1350932,0.11,26.0,0,2,,40.770839,-111.86321799999999,440000,0,0,Single Family,340000,2329,3.0,2.0,2672,1901
160,1350784,0.08,20.0,1,0,,40.776277,-111.87386799999999,279900,0,0,Single Family,269000,1966,2.0,1.0,1391,1900
161,1350311,0.69,138.0,1,3,,40.79011,-111.89274499999999,988000,1,0,Single Family,980000,8680,5.0,4.0,4037,1996
162,1349685,0.15,175.0,2,2,,40.770357000000004,-111.853224,960000,1,4,Single Family,890000,5392,5.0,4.0,3687,1906
163,1349369,0.09,2.0,0,1,,40.774223,-111.875672,259900,0,0,Single Family,260000,1373,3.0,1.0,1390,1910
164,1348923,0.11,,2,2,,40.7706,-111.862936,550000,0,0,Single Family,550000,2368,4.0,3.0,2747,1901
165,1348822,0.24,52.0,3,2,,40.772564,-111.849572,799900,0,4,Single Family,785000,6645,4.0,4.0,4360,1921
166,1348574,0.1,29.0,0,0,,40.785404,-111.900512,224900,0,3,Single Family,233700,935,4.0,2.0,1564,1910
167,1347961,0.08,9.0,0,0,,40.779346000000004,-111.872221,264900,0,0,Single Family,260000,1804,2.0,1.0,1872,1906
168,1347693,0.01,3.0,0,0,90.0,40.783421000000004,-111.898053,142000,1,2,Condo,142000,1160,2.0,1.0,747,1961
169,1347020,0.23,28.0,1,0,,40.783512,-111.89563799999999,239000,1,3,Single Family,220000,1450,4.0,1.0,2006,1891
170,1347107,0.15,58.0,0,1,,40.774311,-111.864081,389900,0,0,Single Family,384900,1885,3.0,2.0,1773,1937
171,1346970,0.2,137.0,1,2,,40.785466,-111.87496399999999,495000,0,0,Single Family,495000,3916,2.0,2.0,2280,1973
172,1346169,0.01,38.0,0,1,195.0,40.772834,-111.865579,239900,0,0,Condo,235000,1539,2.0,1.0,1298,1978
173,1346045,0.32,95.0,5,2,,40.788587,-111.86448100000001,675000,0,4,Single Family,565000,4263,4.0,3.0,5268,1986
174,1346065,0.18,5.0,0,2,,40.781028000000006,-111.890652,474900,0,0,Single Family,470000,1472,3.0,3.0,2643,2015
175,1346116,0.06,26.0,0,1,,40.771507,-111.866832,299900,1,0,Single Family,295900,1705,2.0,1.0,1536,1900
176,1346159,0.01,51.0,1,1,349.0,40.774001,-111.892032,195000,0,0,Condo,165000,2176,1.0,2.0,1200,1976
177,1345949,0.08,19.0,2,0,,40.775774,-111.874599,489800,0,3,Single Family,463000,3796,3.0,4.0,3590,1910
178,1345616,0.16,4.0,0,0,,40.783673,-111.894778,199900,0,0,Single Family,190000,1092,3.0,1.0,2404,1898
179,1345383,0.0,98.0,1,1,172.0,40.770223,-111.864094,131900,0,0,Condo,126900,1000,1.0,1.0,645,1977
180,1345420,0.13,61.0,1,1,,40.783059,-111.873883,449900,0,4,Single Family,427000,2280,3.0,2.0,1804,1939
181,1346624,0.31,,0,2,,40.78768,-111.87126,550000,0,4,Single Family,550000,4712,3.0,3.0,3996,1973
182,1345287,0.01,111.0,1,1,348.0,40.774001,-111.892032,235000,0,0,Condo,225000,1972,1.0,2.0,1200,1976
183,1345085,0.28,7.0,1,2,,40.789056,-111.874032,555000,0,0,Single Family,520000,3358,4.0,3.0,3084,1963
184,1344337,0.01,72.0,0,0,95.0,40.783226,-111.898673,129900,0,1,Condo,128000,330,2.0,1.0,747,1961
185,1344371,0.12,121.0,1,0,,40.771324,-111.864056,465000,1,3,Single Family,465000,2217,4.0,4.0,2980,1895
186,1344414,0.39,90.0,1,2,,40.78103,-111.84554399999999,799900,2,0,Single Family,756500,5265,5.0,3.0,3780,1965
187,1344100,0.65,40.0,2,3,,40.787163,-111.888924,974900,1,0,Single Family,877000,6461,3.0,5.0,6524,1977
188,1344075,0.06,35.0,0,0,,40.783563,-111.894535,350000,1,0,Single Family,338500,2760,3.0,3.0,2432,1896
189,1343790,0.1,25.0,1,0,,40.779336,-111.873406,324900,1,2,Single Family,326900,1883,3.0,1.0,1621,1911
190,1343505,0.11,15.0,2,1,,40.780589,-111.87268200000001,599000,0,2,Single Family,570000,3327,4.0,2.0,2905,1906
191,1343256,0.01,13.0,0,0,144.0,40.779415,-111.89396599999999,104900,0,0,Condo,104900,792,1.0,1.0,675,1972
192,1343083,0.09,99.0,1,0,,40.777951,-111.876099,485000,1,0,Single Family,460000,2405,4.0,2.0,1842,1915
193,1343258,0.0,145.0,0,1,528.0,40.772276,-111.886521,252000,0,0,Condo,250000,1897,2.0,2.0,1167,1976
194,1342875,0.01,93.0,1,1,348.0,40.774253,-111.892928,230000,0,0,Condo,225000,2045,2.0,2.0,1200,1976
195,1344214,0.05,4.0,1,0,,40.771389,-111.863767,245900,0,0,Single Family,246000,2070,2.0,1.0,1004,1896
196,1342718,0.08,1.0,1,0,,40.775513000000004,-111.864065,298500,1,1,Single Family,308000,2747,3.0,2.0,1892,1915
197,1342451,0.37,73.0,0,4,,40.787345,-111.866973,725000,1,0,Single Family,692950,6343,5.0,4.0,5098,1971
198,1337906,0.03,98.0,0,2,250.0,40.779649,-111.878546,445000,0,0,Condo,429900,3505,3.0,4.0,2546,1998
199,1342429,0.16,55.0,0,0,,40.778117,-111.89195600000001,465000,1,0,Single Family,448000,1810,4.0,3.0,2282,1916
0,1337538,0.48,105.0,2,2,,40.786791,-111.86267,699000,2,0,Single Family,680000,4887,5.0,3.0,3868,1970
1,1336560,0.33,5.0,0,2,,40.774029999999996,-111.845674,760000,0,0,Single Family,745000,5874,3.0,3.0,2631,1972
2,1336275,0.01,10.0,0,1,228.0,40.770905,-111.886101,273000,2,0,Condo,275000,2383,2.0,3.0,1259,1979
3,1335659,0.65,20.0,3,2,,40.789159999999995,-111.866459,715000,1,0,Single Family,705000,4745,4.0,3.0,3758,1979
4,1335495,0.11,4.0,1,2,,40.784498,-111.87334399999999,439900,1,0,Single Family,461000,2983,3.0,2.0,2496,1953
5,1335509,0.01,2.0,1,0,95.0,40.783421000000004,-111.898053,145000,0,0,Condo,135000,1026,2.0,1.0,826,1961
6,1335594,0.01,,0,0,90.0,40.783421000000004,-111.898053,142000,0,0,Condo,142000,1158,2.0,1.0,740,1961
7,1335632,0.27,26.0,1,4,,40.789426,-111.89198700000001,999900,1,0,Single Family,960000,6624,6.0,4.0,6008,1994
8,1335125,0.15,50.0,1,1,,40.769424,-111.84988999999999,645000,1,0,Single Family,625000,4756,3.0,4.0,3400,1911
9,1335385,0.01,15.0,0,0,237.0,40.77864,-111.893864,89900,1,0,Condo,89900,796,1.0,1.0,582,1972
10,1334589,0.35,143.0,0,2,,40.774299,-111.84574599999999,899000,2,0,Single Family,859000,6679,5.0,3.0,4432,1970
11,1334604,0.01,224.0,0,1,329.0,40.773058,-111.88447,595000,0,0,Condo,570000,3133,2.0,2.0,2098,1985
12,1334422,0.16,161.0,0,2,,40.776153,-111.89375700000001,449900,0,6,Single Family,335000,2500,4.0,4.0,2066,1876
13,1334204,0.14,65.0,0,2,,40.780552,-111.898075,325000,1,0,Single Family,318000,1686,3.0,1.0,1735,1913
14,1333952,0.08,11.0,1,0,,40.774213,-111.882267,349900,1,0,Single Family,367000,1350,5.0,2.0,2361,1896
15,1333335,0.01,10.0,1,2,,40.784859999999995,-111.90006799999999,325000,0,0,Townhouse,321500,1940,3.0,4.0,1854,2007
16,1333544,0.01,4.0,0,0,90.0,40.783421000000004,-111.898053,140000,1,1,Condo,140000,1160,2.0,1.0,740,1961
17,1333241,0.01,88.0,3,2,610.0,40.786,-111.878905,489000,0,2,Condo,460000,4100,4.0,3.0,3882,1983
18,1332887,0.23,20.0,0,2,,40.785182,-111.865673,498000,0,0,Single Family,487000,3504,4.0,3.0,2727,1975
19,1333031,0.11,2.0,0,1,,40.772208,-111.870072,298500,1,0,Single Family,300000,2100,2.0,2.0,2031,1900
20,1333071,0.1,6.0,0,0,,40.778772,-111.877025,324900,1,1,Single Family,324900,1958,2.0,1.0,1832,1907
21,1332674,0.29,6.0,1,3,,40.78949,-111.891625,830000,1,0,Single Family,820000,7061,5.0,4.0,4864,1992
22,1332405,0.1,226.0,1,0,,40.772541,-111.865889,359800,1,2,Single Family,362600,1358,3.0,3.0,3101,1909
23,1332344,0.0,7.0,1,0,230.0,40.778849,-111.89394399999999,119900,0,1,Condo,119900,875,,1.0,670,1972
24,1332145,0.12,10.0,0,1,,40.771963,-111.867473,310000,1,0,Single Family,315000,2683,2.0,2.0,1550,1925
25,1332278,0.17,206.0,0,2,,40.773466,-111.874094,699990,2,8,Single Family,665000,1600,3.0,2.0,2803,1900
26,1331787,0.25,117.0,0,0,,40.773485,-111.864047,499900,0,2,Single Family,451000,2769,5.0,4.0,3865,1870
27,1331737,0.11,34.0,0,1,,40.784781,-111.89768000000001,225000,1,5,Single Family,225000,1266,1.0,1.0,1031,1926
28,1331760,0.01,29.0,0,0,310.0,40.770454,-111.854868,282500,1,1,Condo,278000,1370,2.0,1.0,1332,1907
29,1331596,0.05,,0,2,335.0,40.780454999999996,-111.877274,520000,1,0,Townhouse,520000,2965,3.0,3.0,1999,1987
30,1331519,0.1,11.0,0,1,,40.779574,-111.866707,329500,1,0,Single Family,325000,2207,3.0,2.0,1668,1941
31,1331438,0.07,4.0,0,2,,40.775484000000006,-111.895858,319900,1,0,Single Family,320000,1317,4.0,2.0,1552,1976
32,1331111,0.01,10.0,1,1,463.0,40.771409999999996,-111.91364499999999,219900,0,0,Condo,205000,1200,2.0,2.0,1137,1964
33,1330961,0.09,3.0,1,1,,40.7783,-111.86679099999999,525000,1,0,Single Family,525900,2770,4.0,3.0,2434,1939
34,1330384,0.04,6.0,2,2,85.0,40.785647999999995,-111.900301,315000,1,0,Single Family,305000,926,2.0,3.0,1674,2013
35,1329937,0.08,13.0,0,0,,40.774869,-111.87208999999999,299000,1,3,Single Family,277000,2156,1.0,2.0,2052,1914
36,1330141,0.06,10.0,1,0,,40.775988,-111.875023,295000,0,0,Single Family,305000,1200,2.0,2.0,862,1900
37,1329747,0.11,42.0,0,2,,40.770503000000005,-111.850825,649900,1,0,Single Family,629400,4034,4.0,3.0,2738,1935
38,1367155,2.11,,0,3,875.0,40.796784,-111.881308,2125000,0,0,Single Family,2125000,15276,4.0,7.0,7962,2007
39,1329172,0.13,13.0,0,2,,40.771963,-111.862068,529900,1,0,Single Family,520000,2904,4.0,2.0,2595,1908
40,1329183,0.08,,1,1,,40.772003999999995,-111.86438000000001,259500,1,0,Single Family,261500,2390,2.0,2.0,1683,1911
41,1328035,0.16,106.0,0,0,,40.776957,-111.88073600000001,369000,1,3,Single Family,335000,2706,4.0,4.0,2872,1899
42,1327563,0.11,17.0,1,1,,40.779885,-111.868048,379900,1,1,Single Family,379900,1798,4.0,2.0,1932,1941
43,1327242,0.01,58.0,0,0,350.0,40.771314000000004,-111.881625,99900,0,0,Condo,90000,873,1.0,1.0,500,1928
44,1327269,0.0,73.0,1,1,446.0,40.774195,-111.89073300000001,219900,0,0,Condo,213000,1695,2.0,2.0,1182,1962
45,1327039,0.01,5.0,1,0,249.0,40.7706,-111.87291299999998,180000,0,1,Condo,186000,1100,2.0,1.0,852,1912
46,1326977,0.31,152.0,0,3,,40.783152,-111.848003,950000,0,0,Single Family,915000,6945,5.0,5.0,5054,1986
47,1325927,0.01,7.0,0,2,335.0,40.780485,-111.877028,465000,1,0,Townhouse,455000,3606,2.0,3.0,1991,1987
48,1325928,0.22,5.0,0,0,,40.784437,-111.871785,470000,1,0,Single Family,460000,3358,4.0,2.0,2550,1950
49,1326795,0.08,63.0,1,1,,40.774045,-111.871599,387900,1,2,Single Family,377500,3933,3.0,2.0,2779,1925
50,1325790,0.12,72.0,2,0,,40.780352,-111.86745400000001,419500,1,2,Single Family,400000,2700,3.0,3.0,1918,1939
51,1325661,0.26,23.0,1,0,,40.780217,-111.847121,550000,0,0,Single Family,525000,4271,4.0,3.0,2940,1977
52,1325333,0.33,61.0,0,2,,40.790568,-111.863808,1295000,0,0,Single Family,1186700,4430,5.0,4.0,6457,1968
53,1324906,0.01,43.0,3,2,435.0,40.77466,-111.893152,189900,0,0,Condo,185000,1860,2.0,2.0,1450,1974
54,1325063,0.01,111.0,1,2,454.0,40.77228,-111.88696599999999,225000,0,0,Condo,218000,1748,2.0,2.0,1110,1976
55,1324629,0.13,13.0,0,2,,40.772303,-111.86445900000001,419000,1,0,Single Family,414400,3469,3.0,2.0,2351,1906
56,1324841,0.01,145.0,0,0,90.0,40.783421000000004,-111.898053,138500,0,0,Condo,135000,1158,2.0,1.0,740,1961
57,1324494,0.01,37.0,0,1,217.0,40.770773,-111.8861,289900,2,2,Condo,277500,1998,2.0,2.0,1380,1979
58,1323678,0.11,12.0,2,2,,40.781755,-111.88751200000002,524900,1,3,Single Family,517000,4273,3.0,3.0,2265,1954
59,1323680,0.01,90.0,0,0,289.0,40.775431,-111.873783,179900,0,1,Condo,179900,1463,2.0,2.0,1100,1968
60,1323824,0.14,44.0,1,0,,40.783339,-111.895229,299900,1,2,Single Family,295000,1246,2.0,2.0,2075,1890
61,1323825,0.36,192.0,3,5,,40.77543,-111.84308300000001,849900,0,0,Single Family,800000,7395,8.0,6.0,6447,1978
62,1323526,0.29,6.0,1,3,,40.790446,-111.886693,725000,1,0,Single Family,715000,5291,3.0,5.0,4060,1975
63,1323584,0.09,26.0,0,0,,40.771918,-111.882681,399500,0,4,Single Family,390000,2290,6.0,2.0,2929,1908
