,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
112,1309745,0.37,52.0,1,2,,40.791059000000004,-111.884505,519000,0,3,Single Family,526000,4481,5.0,3.0,3300,1965
113,1316382,0.34,148.0,1,3,,40.782663,-111.86082900000001,814900,1,0,Single Family,795000,7252,6.0,5.0,5498,1994
114,1308661,0.29,77.0,0,0,,40.783184999999996,-111.896999,449000,0,0,Single Family,435000,2449,5.0,2.0,3317,1878
115,1308296,0.63,298.0,2,3,,40.77478,-111.85096899999999,1850000,1,0,Single Family,1750000,10300,7.0,7.0,6544,1978
116,1308594,0.01,268.0,0,1,331.0,40.775644,-111.89403300000001,138500,0,0,Condo,134000,1188,2.0,1.0,1100,1963
117,1307809,0.15,91.0,1,2,,40.777642,-111.866142,665900,0,2,Single Family,650000,2373,6.0,4.0,3175,1936
118,1308047,0.08,107.0,1,1,,40.776215,-111.87278300000001,399000,1,0,Single Family,385000,2349,4.0,3.0,2700,1908
119,1307495,0.36,68.0,2,3,,40.785514,-111.866773,850000,3,3,Single Family,825000,5917,2.0,4.0,4186,1955
120,1306607,0.01,263.0,0,1,330.0,40.774293,-111.89073400000001,198000,1,0,Condo,192167,1352,2.0,1.0,957,1962
121,1306753,0.01,108.0,1,1,248.0,40.774293,-111.89073400000001,159900,0,1,Condo,154000,1225,1.0,1.0,667,1962
122,1306326,0.45,236.0,1,3,,40.787673999999996,-111.885861,995000,1,6,Single Family,865000,8025,5.0,7.0,7508,1995
123,1305933,0.01,65.0,1,0,312.0,40.775968,-111.893932,91600,0,0,Condo,90000,888,1.0,1.0,693,1963
124,1305522,0.1,92.0,0,1,172.0,40.770223,-111.864094,134900,0,0,Condo,131000,1045,1.0,1.0,647,1977
125,1304735,0.01,130.0,0,0,90.0,40.783421000000004,-111.898053,136500,0,0,Condo,132000,1159,2.0,1.0,740,1961
126,1303920,0.15,133.0,0,1,,40.783021999999995,-111.87548999999999,405000,0,3,Single Family,403000,3091,3.0,3.0,2830,1937
127,1303363,0.01,78.0,0,1,448.0,40.772276,-111.886521,229000,0,0,Condo,227000,1776,2.0,2.0,1006,1976
128,1303130,0.08,86.0,1,1,,40.772597999999995,-111.867751,408500,1,2,Single Family,394000,2410,4.0,3.0,2010,1902
129,1302795,0.93,84.0,1,3,,40.791159,-111.863104,2250000,2,0,Single Family,2050000,8153,5.0,5.0,6054,2009
130,1300519,0.4,287.0,1,2,,40.781328,-111.85384199999999,779000,2,0,Single Family,750000,5771,5.0,4.0,4530,1979
131,1300620,0.0,70.0,0,1,330.0,40.770555,-111.87256200000002,269000,0,0,Condo,255000,1465,2.0,1.0,1107,1912
132,1299265,0.01,191.0,0,0,183.0,40.779415,-111.89396599999999,125000,0,0,Condo,125000,953,2.0,1.0,892,1972
133,1294103,0.0,117.0,1,0,125.0,40.775109,-111.89323300000001,170000,0,0,Condo,170000,1155,2.0,1.0,1300,1965
134,1293274,0.01,332.0,0,1,348.0,40.774001,-111.892032,249000,0,0,Condo,242500,1980,1.0,2.0,1200,1976
135,1289265,0.0,171.0,1,1,331.0,40.773058,-111.88447,350000,0,0,Condo,310000,2904,2.0,3.0,2080,1985
136,1288046,0.39,106.0,2,2,,40.785859,-111.870205,849000,1,0,Single Family,794000,5560,6.0,4.0,4840,1963
137,1286790,0.01,481.0,1,2,,40.785569,-111.899699,379000,1,1,Townhouse,360000,2214,2.0,4.0,2540,2009
138,1285942,0.12,185.0,1,1,,40.771219,-111.856599,533800,0,0,Single Family,529000,3928,3.0,3.0,3017,1898
139,1285381,2.96,432.0,2,3,980.0,40.793724,-111.883513,1990000,2,0,Single Family,1910000,24331,4.0,6.0,6771,1998
140,1284966,0.01,141.0,0,0,190.0,40.78709,-111.902161,140000,1,1,Condo,138900,1161,2.0,1.0,770,1963
141,1281691,0.0,201.0,0,0,350.0,40.771522,-111.88183400000001,59900,0,0,Condo,59000,749,1.0,1.0,400,1928
142,1280794,0.15,203.0,1,2,,40.779253000000004,-111.89338500000001,549000,0,4,Townhouse,535000,3870,5.0,4.0,3494,1998
143,1277128,0.28,216.0,1,3,,40.782933,-111.851143,995000,0,6,Single Family,949000,6658,6.0,4.0,5740,1978
144,1265274,0.01,198.0,0,2,242.0,40.770903999999994,-111.886201,349999,2,2,Condo,340000,1877,2.0,2.0,1473,1979
145,1241781,0.0,447.0,0,0,463.0,40.773843,-111.89191100000001,249900,0,0,Condo,231000,2812,2.0,2.0,1385,1976
146,1238399,0.07,375.0,0,1,,40.772835,-111.854867,330000,0,0,Single Family,310000,2079,5.0,3.0,2094,1886
147,1222911,0.01,485.0,1,2,305.0,40.77198,-111.88526200000001,385000,1,0,Condo,370000,3644,2.0,2.0,2028,1981
