,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
62,0.29,6.0,1,3,,40.790446,-111.886693,725000,1,0,Single Family,715000,5291,3.0,5.0,"4,060",1975
63,0.09,26.0,0,0,,40.771918,-111.882681,399500,0,4,Single Family,390000,2290,6.0,2.0,"2,929",1908
64,0.08,1.0,1,1,,40.772591999999996,-111.854845,369000,0,0,Single Family,369000,2412,2.0,1.0,"1,331",1907
65,0.01,46.0,0,0,310.0,40.770338,-111.854809,279900,1,1,Condo,278000,1370,2.0,1.0,"1,332",1907
66,0.1,42.0,0,2,,0.0,0.0,475000,2,4,Single Family,467010,3662,3.0,2.0,"2,893",1953
67,0.09,7.0,1,0,,40.783863000000004,-111.895696,295000,0,0,Single Family,308500,1271,2.0,2.0,"1,333",1902
68,0.01,194.0,1,2,1086.0,40.784012,-111.877146,625000,0,0,Condo,625000,4984,2.0,3.0,"1,702",2009
69,0.07,5.0,0,1,,40.775476,-111.86409599999999,240000,0,2,Single Family,245000,1,3.0,2.0,"1,044",1942
70,0.06,36.0,0,0,,40.772209000000004,-111.874812,459500,0,0,Single Family,450000,2300,3.0,3.0,"3,012",1909
71,0.16,3.0,1,0,,40.772314,-111.86513899999999,325000,1,0,Single Family,335000,2779,2.0,2.0,"1,449",1906
72,0.21,134.0,0,1,,40.769666,-111.86028300000001,675000,1,5,Single Family,660000,6327,6.0,6.0,"4,695",1916
73,0.69,142.0,0,3,,40.790256,-111.882456,1599900,0,0,Single Family,1510000,5198,4.0,5.0,"6,468",1970
74,0.12,108.0,0,2,,40.77081,-111.850614,949000,1,1,Single Family,920000,7071,5.0,4.0,"3,759",1911
75,0.0,88.0,2,1,217.0,40.770905,-111.886101,279900,0,0,Condo,265000,1924,2.0,2.0,"1,380",1979
76,0.13,12.0,0,2,,40.773097,-111.86626100000001,426000,2,0,Single Family,400000,1915,3.0,3.0,"2,371",1920
77,0.14,117.0,0,3,,40.77921,-111.866018,449900,0,7,Single Family,430000,3074,5.0,3.0,"2,972",1908
78,0.01,87.0,1,0,289.0,40.77548,-111.87404,215000,0,0,Condo,205300,1635,2.0,2.0,"1,100",1968
79,0.01,57.0,0,2,296.0,40.773058,-111.88447,360000,0,2,Condo,350000,2688,2.0,3.0,"1,884",1985
80,0.16,25.0,0,2,,40.781231,-111.888254,424000,0,0,Single Family,415000,3081,6.0,3.0,"2,887",1927
81,0.48,7.0,3,2,,40.788405,-111.888222,736000,1,4,Single Family,736000,5871,5.0,3.0,"4,756",1959
82,0.0,63.0,1,0,236.0,40.778849,-111.89394399999999,109900,0,0,Condo,101000,925,1.0,1.0,785,1972
83,0.09,25.0,1,0,,40.77146,-111.861703,455000,0,0,Single Family,445000,2608,3.0,2.0,"2,764",1896
84,0.16,109.0,0,1,,40.770412,-111.861977,295000,0,3,Single Family,295000,2156,3.0,1.0,"1,385",1912
85,0.0,55.0,0,0,448.0,40.772276,-111.886521,199999,0,1,Condo,179200,1850,2.0,2.0,"1,120",1976
86,0.05,29.0,0,0,,40.775572,-111.86405800000001,319900,1,0,Single Family,300000,1950,3.0,1.0,"1,622",1901
87,0.0,70.0,0,0,172.0,40.770223,-111.864094,116900,1,0,Condo,116900,1047,1.0,1.0,650,1977
88,0.01,114.0,0,1,402.0,40.76962,-111.85393300000001,389000,1,0,Condo,375000,3350,3.0,2.0,"1,930",1929
89,0.0,239.0,0,0,448.0,40.772276,-111.886521,249900,0,1,Condo,249900,1775,2.0,2.0,990,1976
90,0.0,30.0,1,0,229.0,40.77905,-111.89406000000001,128000,0,0,Condo,127000,890,2.0,1.0,818,1972
91,0.07,55.0,1,1,,40.775086,-111.89277,359900,0,4,Single Family,337000,99242,3.0,2.0,"2,319",1891
92,0.26,24.0,0,2,,40.773241999999996,-111.84727600000001,1000000,2,0,Single Family,923000,7515,6.0,4.0,"4,968",1925
93,0.65,87.0,2,3,,40.771506,-111.846976,3500000,1,0,Single Family,3200000,13128,4.0,5.0,"6,118",1931
94,0.14,85.0,1,2,,40.773498,-111.85843500000001,529900,1,0,Single Family,500000,2733,4.0,3.0,"3,072",1897
95,0.01,122.0,2,1,361.0,40.774741999999996,-111.893074,232000,0,0,Condo,210000,1809,2.0,2.0,"1,225",1976
96,0.14,182.0,1,1,,40.781614000000005,-111.876296,478888,0,0,Single Family,460000,3050,6.0,4.0,"3,895",1936
97,0.07,7.0,0,1,,40.772588,-111.854702,313900,0,0,Single Family,313900,1626,3.0,2.0,"1,891",1906
98,0.08,40.0,0,2,,40.782405,-111.899456,350000,0,0,Single Family,334000,1409,2.0,2.0,"1,754",1917
99,0.03,28.0,0,2,285.0,40.779839,-111.878819,440000,1,0,Townhouse,440000,3087,3.0,3.0,"2,455",1998
100,0.09,26.0,0,0,,40.770828,-111.87193700000002,268800,1,0,Single Family,255000,1137,3.0,1.0,"1,290",1906
101,0.01,47.0,1,0,90.0,40.783421000000004,-111.898053,141500,0,1,Condo,142000,1158,2.0,1.0,740,1961
102,0.01,116.0,1,2,528.0,40.772276,-111.886521,289000,0,0,Condo,282500,1953,2.0,2.0,"1,167",1976
103,0.01,88.0,1,2,394.0,40.774001,-111.892032,269000,0,0,Condo,250000,2173,1.0,2.0,"1,200",1976
104,0.01,34.0,0,0,185.0,40.779052,-111.89433100000001,135999,0,0,Condo,131000,871,2.0,1.0,852,1972
105,0.01,81.0,0,0,195.0,40.776236,-111.86509699999999,185000,0,1,Condo,186000,1464,1.0,1.0,750,1961
106,0.59,101.0,2,3,,40.781987,-111.860854,850000,0,0,Single Family,790000,7481,4.0,4.0,"4,378",1995
107,0.29,32.0,1,3,,40.790665999999995,-111.885893,649900,2,3,Single Family,645000,4980,5.0,4.0,"5,334",1980
108,0.13,46.0,1,0,,40.78476,-111.896381,315000,0,3,Single Family,315000,2046,3.0,2.0,"1,891",1900
109,0.18,60.0,1,1,,40.781096000000005,-111.881026,599999,1,4,Single Family,590000,2467,3.0,3.0,"2,448",1909
110,0.1,77.0,2,0,,40.776877,-111.897279,399900,0,2,Single Family,395000,1302,5.0,2.0,"2,590",1909
111,0.3,89.0,0,2,,40.772952000000004,-111.845367,1019000,1,0,Single Family,970000,8408,5.0,4.0,"4,176",1927
112,0.37,52.0,1,2,,40.791059000000004,-111.884505,519000,0,3,Single Family,526000,4481,5.0,3.0,"3,300",1965
113,0.34,148.0,1,3,,40.782663,-111.86082900000001,814900,1,0,Single Family,795000,7252,6.0,5.0,"5,498",1994
114,0.29,77.0,0,0,,40.783184999999996,-111.896999,449000,0,0,Single Family,435000,2449,5.0,2.0,"3,317",1878
115,0.63,298.0,2,3,,40.77478,-111.85096899999999,1850000,1,0,Single Family,1750000,10300,7.0,7.0,"6,544",1978
116,0.01,268.0,0,1,331.0,40.775644,-111.89403300000001,138500,0,0,Condo,134000,1188,2.0,1.0,"1,100",1963
117,0.15,91.0,1,2,,40.777642,-111.866142,665900,0,2,Single Family,650000,2373,6.0,4.0,"3,175",1936
118,0.08,107.0,1,1,,40.776215,-111.87278300000001,399000,1,0,Single Family,385000,2349,4.0,3.0,"2,700",1908
119,0.36,68.0,2,3,,40.785514,-111.866773,850000,3,3,Single Family,825000,5917,2.0,4.0,"4,186",1955
120,0.01,263.0,0,1,330.0,40.774293,-111.89073400000001,198000,1,0,Condo,192167,1352,2.0,1.0,957,1962
121,0.01,108.0,1,1,248.0,40.774293,-111.89073400000001,159900,0,1,Condo,154000,1225,1.0,1.0,667,1962
122,0.45,236.0,1,3,,40.787673999999996,-111.885861,995000,1,6,Single Family,865000,8025,5.0,7.0,"7,508",1995
123,0.01,65.0,1,0,312.0,40.775968,-111.893932,91600,0,0,Condo,90000,888,1.0,1.0,693,1963
124,0.1,92.0,0,1,172.0,40.770223,-111.864094,134900,0,0,Condo,131000,1045,1.0,1.0,647,1977
125,0.01,130.0,0,0,90.0,40.783421000000004,-111.898053,136500,0,0,Condo,132000,1159,2.0,1.0,740,1961
126,0.15,133.0,0,1,,40.783021999999995,-111.87548999999999,405000,0,3,Single Family,403000,3091,3.0,3.0,"2,830",1937
127,0.01,78.0,0,1,448.0,40.772276,-111.886521,229000,0,0,Condo,227000,1776,2.0,2.0,"1,006",1976
128,0.08,86.0,1,1,,40.772597999999995,-111.867751,408500,1,2,Single Family,394000,2410,4.0,3.0,"2,010",1902
129,0.93,84.0,1,3,,40.791159,-111.863104,2250000,2,0,Single Family,2050000,8153,5.0,5.0,"6,054",2009
130,0.4,287.0,1,2,,40.781328,-111.85384199999999,779000,2,0,Single Family,750000,5771,5.0,4.0,"4,530",1979
131,0.0,70.0,0,1,330.0,40.770555,-111.87256200000002,269000,0,0,Condo,255000,1465,2.0,1.0,"1,107",1912
132,0.01,191.0,0,0,183.0,40.779415,-111.89396599999999,125000,0,0,Condo,125000,953,2.0,1.0,892,1972
133,0.0,117.0,1,0,125.0,40.775109,-111.89323300000001,170000,0,0,Condo,170000,1155,2.0,1.0,"1,300",1965
134,0.01,332.0,0,1,348.0,40.774001,-111.892032,249000,0,0,Condo,242500,1980,1.0,2.0,"1,200",1976
135,0.0,171.0,1,1,331.0,40.773058,-111.88447,350000,0,0,Condo,310000,2904,2.0,3.0,"2,080",1985
136,0.39,106.0,2,2,,40.785859,-111.870205,849000,1,0,Single Family,794000,5560,6.0,4.0,"4,840",1963
137,0.01,481.0,1,2,,40.785569,-111.899699,379000,1,1,Townhouse,360000,2214,2.0,4.0,"2,540",2009
138,0.12,185.0,1,1,,40.771219,-111.856599,533800,0,0,Single Family,529000,3928,3.0,3.0,"3,017",1898
139,2.96,432.0,2,3,980.0,40.793724,-111.883513,1990000,2,0,Single Family,1910000,24331,4.0,6.0,"6,771",1998
140,0.01,141.0,0,0,190.0,40.78709,-111.902161,140000,1,1,Condo,138900,1161,2.0,1.0,770,1963
141,0.0,201.0,0,0,350.0,40.771522,-111.88183400000001,59900,0,0,Condo,59000,749,1.0,1.0,400,1928
142,0.15,203.0,1,2,,40.779253000000004,-111.89338500000001,549000,0,4,Townhouse,535000,3870,5.0,4.0,"3,494",1998
143,0.28,216.0,1,3,,40.782933,-111.851143,995000,0,6,Single Family,949000,6658,6.0,4.0,"5,740",1978
144,0.01,198.0,0,2,242.0,40.770903999999994,-111.886201,349999,2,2,Condo,340000,1877,2.0,2.0,"1,473",1979
145,0.0,447.0,0,0,463.0,40.773843,-111.89191100000001,249900,0,0,Condo,231000,2812,2.0,2.0,"1,385",1976
146,0.07,375.0,0,1,,40.772835,-111.854867,330000,0,0,Single Family,310000,2079,5.0,3.0,"2,094",1886
147,0.01,485.0,1,2,305.0,40.77198,-111.88526200000001,385000,1,0,Condo,370000,3644,2.0,2.0,"2,028",1981
