,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
100,0.0,,0,0,100.0,40.783421000000004,-111.898053,136500,0,0,Condo,134000,1032,2.0,1.0,740,1962
101,0.01,11.0,1,0,130.0,40.784690999999995,-111.89593799999999,130000,0,0,Condo,130000,1191,2.0,2.0,843,1981
102,0.01,7.0,0,1,761.0,40.770219,-111.887803,449900,0,0,Condo,449900,2225,3.0,2.0,"1,529",1986
103,0.08,7.0,0,0,,40.785506,-111.89818700000001,224900,0,2,Single Family,220000,612,2.0,1.0,867,1886
104,0.07,5.0,0,0,,40.779369,-111.895055,315000,1,0,Single Family,317150,2072,3.0,1.0,"1,511",1905
105,0.01,,2,2,100.0,40.785647999999995,-111.900301,299000,1,0,Townhouse,300000,906,2.0,3.0,"1,682",2014
106,0.11,3.0,1,0,,40.783117,-111.897227,310000,1,3,Single Family,307000,1627,2.0,1.0,"1,544",1903
107,0.01,71.0,0,2,467.0,40.774741999999996,-111.893074,419000,3,0,Condo,400000,2014,2.0,2.0,"1,508",1976
108,0.43,21.0,1,3,,40.789304,-111.886734,760000,2,0,Single Family,745000,6200,4.0,4.0,"3,588",1960
109,0.0,3.0,0,1,215.0,40.770959999999995,-111.864092,260000,0,0,Condo,275000,2022,2.0,1.0,844,1938
110,0.11,5.0,0,1,,40.780356,-111.87041599999999,389500,0,2,Single Family,385000,2316,3.0,2.0,"1,960",1914
111,0.12,9.0,1,1,,40.77809,-111.871936,410000,1,2,Single Family,420000,2885,4.0,3.0,"2,611",1895
112,0.27,28.0,0,3,650.0,40.782183,-111.88055700000001,858000,0,0,Single Family,810000,7200,4.0,4.0,"4,312",1999
113,0.19,2.0,0,2,,40.773463,-111.86359499999999,459000,1,5,Single Family,467000,5382,3.0,3.0,"2,411",1906
114,0.12,3.0,1,0,,40.779806,-111.871499,360000,1,3,Single Family,360500,1380,3.0,2.0,"2,030",1908
115,0.05,4.0,16,0,,40.771984,-111.870275,234900,54,0,Single Family,240000,942,3.0,1.0,"1,310",1934
116,0.0,4.0,0,1,215.0,40.770832,-111.86409099999999,260000,1,2,Condo,280000,2023,2.0,1.0,848,1938
117,0.01,56.0,0,1,430.0,40.774001,-111.892032,259900,0,0,Condo,249800,2176,1.0,2.0,"1,200",1976
118,0.42,10.0,2,4,,40.784197,-111.851184,1300000,2,0,Single Family,1270000,7412,5.0,6.0,"5,446",2002
119,0.07,4.0,0,0,,40.777190000000004,-111.86984299999999,329900,0,0,Single Family,336400,2326,4.0,2.0,"2,158",1910
120,0.13,38.0,0,2,,40.771195,-111.850002,879900,1,0,Single Family,829350,6624,4.0,3.0,"2,837",1926
121,0.14,6.0,1,0,,40.776429,-111.87420900000001,250000,0,4,Single Family,222000,1998,2.0,1.0,"1,191",1940
122,0.26,10.0,1,2,,40.775689,-111.84881999999999,898000,1,1,Single Family,819500,5500,6.0,3.0,"3,888",1976
123,0.0,29.0,1,0,100.0,40.783421000000004,-111.898053,122500,0,0,Condo,126100,910,1.0,1.0,612,1961
124,0.0,24.0,1,0,100.0,40.783421000000004,-111.898053,126500,0,0,Condo,126500,910,1.0,1.0,612,1961
125,0.0,2.0,1,0,100.0,40.783421000000004,-111.898053,126500,0,0,Condo,123000,910,1.0,1.0,612,1961
